id,session_id,visited_at,photo_name,photo_index,event_type,duration_seconds,recipient_tag,device_type,ipv4,visit_id,zoom_pct
859,qdsciyuylmo3vl12l,2026-04-18 07:45:40.525+00,photo1.jpeg,0,view,0,ghazala-firdaus2,Mobile,,,0
860,qdsciyuylmo3vl12l,2026-04-18 07:45:41.705+00,photo1.jpeg,0,zoom,190,ghazala-firdaus2,Mobile,,,190
861,qdsciyuylmo3vl12l,2026-04-18 07:45:45.173+00,photo1.jpeg,0,view_end,5,ghazala-firdaus2,Mobile,,,190
862,qdsciyuylmo3vl12l,2026-04-18 07:45:45.177+00,photo2.jpeg,1,view,0,ghazala-firdaus2,Mobile,,,0
863,qdsciyuylmo3vl12l,2026-04-18 07:45:46.591+00,photo2.jpeg,1,view_end,1,ghazala-firdaus2,Mobile,,,0
864,qdsciyuylmo3vl12l,2026-04-18 07:46:52.893+00,photo1.jpeg,0,view,0,,Mobile,,,0
865,qdsciyuylmo3vl12l,2026-04-18 07:46:53.971+00,photo1.jpeg,0,view_end,1,,Mobile,,,0
866,qdsciyuylmo3vl12l,2026-04-18 07:46:53.975+00,photo2.jpeg,1,view,0,,Mobile,,,0
867,qdsciyuylmo3vl12l,2026-04-18 07:46:55.419+00,photo2.jpeg,1,view_end,1,,Mobile,,,0
868,qdsciyuylmo3vl12l,2026-04-18 07:46:55.423+00,photo1.jpeg,0,view,0,,Mobile,,,0
869,qdsciyuylmo3vl12l,2026-04-18 07:46:56.643+00,photo2.jpeg,1,view,0,,Mobile,,,0
870,qdsciyuylmo3vl12l,2026-04-18 07:46:56.64+00,photo1.jpeg,0,view_end,1,,Mobile,,,0
871,qdsciyuylmo3vl12l,2026-04-18 07:46:58.364+00,photo2.jpeg,1,zoom,204,,Mobile,,,204
872,qdsciyuylmo3vl12l,2026-04-18 07:47:02.497+00,photo2.jpeg,1,zoom,283,,Mobile,,,283
873,qdsciyuylmo3vl12l,2026-04-18 07:47:04.602+00,photo2.jpeg,1,zoom,197,,Mobile,,,197
874,qdsciyuylmo3vl12l,2026-04-18 07:47:05.88+00,photo2.jpeg,1,view_end,9,,Mobile,,,283
875,qdsciyuylmo3vl12l,2026-04-18 07:47:05.883+00,photo1.jpeg,0,view,0,,Mobile,,,0
876,qdsciyuylmo3vl12l,2026-04-18 07:47:09.211+00,photo1.jpeg,0,zoom,159,,Mobile,,,159
877,qdsciyuylmo3vl12l,2026-04-18 07:47:09.917+00,photo2.jpeg,1,view,0,,Mobile,,,0
878,qdsciyuylmo3vl12l,2026-04-18 07:47:09.913+00,photo1.jpeg,0,view_end,4,,Mobile,,,159
879,qdsciyuylmo3vl12l,2026-04-18 07:47:11.301+00,photo2.jpeg,1,view_end,1,,Mobile,,,0
880,oapmpjp0wmm60bksp,2026-04-18 09:58:44.31+00,photo1.jpeg,0,view,0,sadia-murshid,Mobile,,,0
881,oapmpjp0wmm60bksp,2026-04-18 09:58:54.994+00,photo1.jpeg,0,view_end,11,sadia-murshid,Mobile,,,0
882,eggqmzb8tmnr1o9mj,2026-04-19 04:35:48.342+00,photo1.jpeg,0,view,0,saima-perween,Mobile,,,0
883,eggqmzb8tmnr1o9mj,2026-04-19 04:35:50.846+00,photo1.jpeg,0,view_end,3,saima-perween,Mobile,,,0
884,eggqmzb8tmnr1o9mj,2026-04-19 04:35:50.851+00,photo2.jpeg,1,view,0,saima-perween,Mobile,,,0
885,eggqmzb8tmnr1o9mj,2026-04-19 04:35:57.897+00,photo2.jpeg,1,view_end,7,saima-perween,Mobile,,,0
886,eggqmzb8tmnr1o9mj,2026-04-19 04:35:57.899+00,photo1.jpeg,0,view,0,saima-perween,Mobile,,,0
887,eggqmzb8tmnr1o9mj,2026-04-19 04:36:00.301+00,photo1.jpeg,0,view_end,2,saima-perween,Mobile,,,0
888,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:05.929+00,photo1.jpeg,0,view,0,kari-sahab,Mobile,,,0
889,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:10.299+00,photo1.jpeg,0,view_end,4,kari-sahab,Mobile,,,0
890,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:10.303+00,photo2.jpeg,1,view,0,kari-sahab,Mobile,,,0
891,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:11.783+00,photo1.jpeg,0,view,0,kari-sahab,Mobile,,,0
892,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:11.78+00,photo2.jpeg,1,view_end,1,kari-sahab,Mobile,,,0
893,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:16.336+00,photo1.jpeg,0,view_end,5,kari-sahab,Mobile,,,0
894,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:16.338+00,photo2.jpeg,1,view,0,kari-sahab,Mobile,,,0
895,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:31.852+00,photo2.jpeg,1,view_end,16,kari-sahab,Mobile,,,0
896,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:31.853+00,photo1.jpeg,0,view,0,kari-sahab,Mobile,,,0
897,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:33.86+00,photo1.jpeg,0,view_end,2,kari-sahab,Mobile,,,0
898,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:33.861+00,photo2.jpeg,1,view,0,kari-sahab,Mobile,,,0
899,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:36.326+00,photo2.jpeg,1,zoom,187,kari-sahab,Mobile,,,187
900,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:45.981+00,photo2.jpeg,1,view_end,12,kari-sahab,Mobile,,,187
901,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:48.331+00,photo1.jpeg,0,view,0,kari-sahab,Mobile,,,0
902,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:50.289+00,photo2.jpeg,1,view,0,kari-sahab,Mobile,,,0
903,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:50.288+00,photo1.jpeg,0,view_end,2,kari-sahab,Mobile,,,0
904,nuzv0ozw5mo5ivh7b,2026-04-19 09:53:55.078+00,photo2.jpeg,1,view_end,5,kari-sahab,Mobile,,,0
905,nuzv0ozw5mo5ivh7b,2026-04-19 09:54:02.932+00,photo1.jpeg,0,view,0,kari-sahab,Mobile,,,0
906,nuzv0ozw5mo5ivh7b,2026-04-19 09:54:07.695+00,photo1.jpeg,0,zoom,292,kari-sahab,Mobile,,,292
907,nuzv0ozw5mo5ivh7b,2026-04-19 09:54:24.55+00,photo2.jpeg,1,view,0,kari-sahab,Mobile,,,0
908,nuzv0ozw5mo5ivh7b,2026-04-19 09:54:24.549+00,photo1.jpeg,0,view_end,22,kari-sahab,Mobile,,,292
909,nuzv0ozw5mo5ivh7b,2026-04-19 09:54:25.95+00,photo2.jpeg,1,zoom,280,kari-sahab,Mobile,,,280
910,nuzv0ozw5mo5ivh7b,2026-04-19 09:54:43.411+00,photo2.jpeg,1,view_end,19,kari-sahab,Mobile,,,280
911,dkk57kef8mo5gmi71,2026-04-19 14:45:48.327+00,photo1.jpeg,0,view,0,kari-sahab,Mobile,,,0
912,dkk57kef8mo5gmi71,2026-04-19 14:45:55.385+00,photo2.jpeg,1,view,0,kari-sahab,Mobile,,,0
913,dkk57kef8mo5gmi71,2026-04-19 14:45:55.372+00,photo1.jpeg,0,view_end,7,kari-sahab,Mobile,,,0
914,dkk57kef8mo5gmi71,2026-04-19 14:45:59.038+00,photo2.jpeg,1,zoom,255,kari-sahab,Mobile,,,255
